Estacion,Fecha,Especie,Circunferencia a la altura del pecho,DAP,Fromard et al 1998,"Medina, 2016",Yepes et al 2016 A,Yepes et al 2016 B
Estacion,12/15/2018,Avicennia,12,3.8,3.491410345,5.372295411,1.323427342,3.75612373
Estacion,12/15/2018,Avicennia,43,13.7,74.6947705,122.7738394,4.450346334,85.64512994
Estacion,12/15/2018,Avicennia,42,13.4,70.59341649,115.8914802,4.392696615,80.84747703
Estacion,12/15/2018,Avicennia,25,8,20.32459614,32.48334494,3.121651821,22.68168678
Estacion,12/15/2018,Avicennia,75,23.9,283.865711,480.1964268,5.813251929,334.6472292
Estacion,12/15/2018,Avicennia,22,7,14.95479065,23.74372815,2.808460061,16.58295759
Estacion,12/15/2018,Avicennia,38,12.1,55.51962649,90.67481298,4.147492142,63.26721649
Estacion,12/15/2018,Avicennia,52,16.6,117.8620332,195.6395352,4.915953161,136.4291147
Estacion,12/15/2018,Avicennia,16,5.1,6.963921424,10.87607481,2.02824842,7.600297283
Estacion,12/15/2018,Avicennia,11,3.5,2.833402992,4.340239258,1.110249469,3.035014028
Estacion,12/15/2018,Avicennia,9.5,3,1.992978238,3.029815533,0.751070957,2.119220532
Estacion,12/15/2018,Avicennia,57,18.1,146.9148031,245.0245545,5.140881657,170.8399064
Estacion,12/15/2018,Avicennia,15,4.8,5.964649462,9.284406875,1.870129043,6.488768413
Estacion,12/15/2018,Avicennia,49,15.6,102.1966114,169.1160997,4.770365781,117.9454437
Estacion,12/15/2018,Avicennia,126,40.1,985.9507283,1713.206408,7.084296723,1192.829459
Estacion,12/15/2018,Avicennia,45,14.3,83.30593381,137.2499973,4.56172915,95.73575332
Estacion,12/15/2018,Avicennia,63,20.1,186.8027316,313.1658879,5.38608613,218.3117289
Estacion,12/15/2018,Avicennia,111,35.3,727.3459969,1255.594983,6.773755044,874.4115364
Estacion,12/15/2018,Avicennia,28,8.9,26.6775031,42.8872866,3.3993071,29.94028115
Estacion,4/19/2017,Avicennia,70,22.28163993,240.5476951,405.4694046,5.644219394,282.6048078
Estacion,4/19/2017,Avicennia,59,18.78023937,159.5918583,266.6423337,5.225372788,185.9012254
Estacion,4/19/2017,Avicennia,38.5,12.25490196,57.2890545,93.62790271,4.179518742,65.3261832
Estacion,4/19/2017,Avicennia,65,20.69009422,201.3529328,338.1044612,5.462654862,235.6836446
Estacion,4/19/2017,Avicennia,43.5,13.84644767,76.79626889,126.3034856,4.478670349,88.10554981
Estacion,4/19/2017,Avicennia,42.5,13.52813853,72.62720583,119.3032747,4.421691037,83.22584431
Estacion,4/19/2017,Avicennia,52.5,16.71122995,120.6002566,200.2837844,4.939398316,139.6654085
Estacion,4/19/2017,Avicennia,20,6.366182837,11.89701183,18.79604452,2.574950121,13.12964441
Estacion,4/19/2017,Avicennia,69,21.96333079,232.3826616,391.4150681,5.608966987,272.8161534
Estacion,4/19/2017,Avicennia,9.5,3.023936847,1.992978238,3.029815533,0.751070957,2.119220532
Estacion,4/19/2017,Avicennia,28.7,9.135472371,28.30625769,45.56383504,3.459804001,31.80742806
Estacion,4/19/2017,Avicennia,25,7.957728546,20.32459614,32.48334494,3.121651821,22.68168678
Estacion,4/19/2017,Avicennia,52.3,16.64756812,119.5005646,198.4183415,4.93004716,138.3655019
Estacion,4/19/2017,Avicennia,79,25.14642221,321.566592,545.4357054,5.940553289,380.0772258
Estacion,4/19/2017,Avicennia,37,11.77743825,52.07748969,84.93591927,4.082154936,59.26577857
Estacion,4/19/2017,Avicennia,53,16.87038452,123.3752344,204.9926899,4.962621239,142.9467019
Estacion,4/19/2017,Avicennia,15.5,4.933791698,6.453004671,10.06160929,1.950464109,7.031537542
Estacion,4/19/2017,Avicennia,12.2,3.88337153,3.632699695,5.594478659,1.363924132,3.911351918
