Localidad,Fecha,Estacion,Transecto,Parcela,Especie,CAP (cm),DAP (cm),Altura (m),Estado,Estado de decaimiento,Biomasa vivos (kg) Medina 2016,Biomasa de arboles muertos (kg),Biomasa total (kg)
San Andres,3/10/2022,Old Point,3,P3,Rm,23.5,7.480264833,,V,,35.22624102,,35.226241
San Andres,3/10/2022,Old Point,3,P3,Ag,42,13.36898396,,V,,115.8914802,,115.89148
San Andres,3/10/2022,Old Point,3,P3,Rm,38.2,12.15940922,,V,,108.48862,,108.48862
San Andres,3/10/2022,Old Point,3,P3,Rm,19.6,6.23885918,,M,,23.14159894,22.563059,45.704658
San Andres,3/10/2022,Old Point,3,P3,Rm,36,11.45912911,,V,,94.56709774,,94.567098
San Andres,3/10/2022,Old Point,3,P3,Rm,30.3,9.644766998,,V,,63.44786291,,63.447863
San Andres,3/10/2022,Old Point,3,P3,Ag,44.5,14.16475681,,M,3,133.5412581,93.478881,227.020139
San Andres,3/10/2022,Old Point,3,P3,Rm,21.2,6.748153807,,V,,27.75225642,,27.752256
San Andres,3/10/2022,Old Point,3,P3,Rm,38.5,12.25490196,,V,,110.4714636,,110.471464
San Andres,3/10/2022,Old Point,3,P3,Rm,47.8,15.21517698,,V,,182.3107551,,182.310755
San Andres,3/10/2022,Old Point,3,P3,Lr,9.1,2.896613191,,V,,2.491459718,,2.49146
San Andres,3/10/2022,Old Point,3,P3,Lr,13.5,4.297173415,,V,,5.995414532,,5.995415
San Andres,3/10/2022,Old Point,3,P3,Lr,9,2.864782277,,V,,2.430914237,,2.430914
San Andres,3/10/2022,Old Point,3,P3,Lr,10.2,3.246753247,,V,,3.212118336,,3.212118
San Andres,3/10/2022,Old Point,3,P3,Lr,11,3.50140056,,V,,3.800150427,,3.80015
San Andres,3/10/2022,Old Point,3,P3,Lr,70.1,22.31347084,,V,,234.7203312,,234.720331
San Andres,3/10/2022,Old Point,3,P3,Rm,15.5,4.933791698,,V,,13.44026592,,13.440266
San Andres,3/10/2022,Old Point,3,P3,Ag,20.5,6.525337408,,M,3,19.96908501,13.97836,33.947445
San Andres,3/10/2022,Old Point,3,P3,Ag,65.5,20.84924879,,M,1,344.5164947,335.903582,680.420077
San Andres,3/10/2022,Old Point,3,P3,Rm,26,8.276037688,,M,2,44.51646532,37.838996,82.355461
San Andres,3/10/2022,Old Point,3,P3,Rm,23.8,7.575757576,,M,1,36.27617676,35.369272,71.645449
San Andres,3/10/2022,Old Point,3,P3,Rm,36.1,11.49096002,,V,,95.17640691,,95.176407
San Andres,3/10/2022,Old Point,3,P3,Ag,38.5,12.25490196,,V,,93.62790271,,93.627903
San Andres,3/11/2022,Old Point,3,P6,Ag,29,9.230965113,,V,,46.74039692,,46.740397
San Andres,3/11/2022,Old Point,3,P6,Lr,9.3,2.960275019,,V,,2.615017206,,2.615017
San Andres,3/11/2022,Old Point,3,P6,Lr,8,2.546473135,,V,,1.870181089,,1.870181
San Andres,3/11/2022,Old Point,3,P6,Lr,8.4,2.673796791,,V,,2.084776565,,2.084777
San Andres,3/11/2022,Old Point,3,P6,Ag,20.2,6.429844665,,V,,19.26021705,,19.260217
San Andres,3/11/2022,Old Point,3,P6,Ag,42.5,13.52813853,,V,,119.3032747,,119.303275
San Andres,3/11/2022,Old Point,3,P6,Rm,10.1,3.214922333,,V,,4.985837933,,4.985838
San Andres,3/11/2022,Old Point,3,P6,Ag,44.3,14.10109498,,V,,132.0745806,,132.074581
San Andres,3/11/2022,Old Point,3,P6,Ag,32.2,10.24955437,,M,3,60.41453892,42.290177,102.704716
San Andres,3/11/2022,Old Point,3,P6,Ag,54.7,17.41151006,,V,,221.490321,,221.490321
San Andres,3/11/2022,Old Point,3,P6,Ag,10.3,3.278584161,,V,,3.694062581,,3.694063
San Andres,3/11/2022,Old Point,3,P6,Rm,9.9,3.151260504,,V,,4.760220242,,4.76022
San Andres,3/11/2022,Old Point,3,P6,Ag,14.7,4.679144385,,V,,8.835744199,,8.835744
San Andres,3/11/2022,Old Point,3,P6,Rm,19.5,6.207028266,,V,,22.86914965,,22.86915
San Andres,3/11/2022,Old Point,3,P6,Rm,12.3,3.915202445,,V,,7.868468042,,7.868468
San Andres,3/11/2022,Old Point,3,P6,Rm,9,2.864782277,,V,,3.817601238,,3.817601
San Andres,3/11/2022,Old Point,3,P6,Rm,11.2,3.565062389,,V,,6.334135778,,6.334136
San Andres,3/11/2022,Old Point,3,P6,Ag,27.9,8.880825057,,V,,42.51273541,,42.512735
San Andres,3/11/2022,Old Point,3,P6,Ag,58.3,18.55742297,,V,,258.9529247,,258.952925
San Andres,3/11/2022,Old Point,3,P6,Rm,11.1,3.533231474,,V,,6.203962636,,6.203963
San Andres,3/11/2022,Old Point,3,P6,Rm,10.3,3.278584161,,V,,5.21740929,,5.217409
San Andres,3/11/2022,Old Point,3,P6,Rm,9.2,2.928444105,,V,,4.016898309,,4.016898
San Andres,3/11/2022,Old Point,3,P6,Rm,14.1,4.4881589,,V,,10.79493154,,10.794932
San Andres,3/11/2022,Old Point,3,P6,Rm,9.8,3.11942959,,V,,4.649632345,,4.649632
San Andres,3/11/2022,Old Point,3,P6,Rm,8,2.546473135,,V,,2.906411663,,2.906412
San Andres,3/11/2022,Old Point,3,P6,Ag,27.6,8.785332315,,V,,41.40073212,,41.400732
San Andres,3/11/2022,Old Point,3,P6,Rm,10.3,3.278584161,,V,,5.21740929,,5.217409
San Andres,3/11/2022,Old Point,3,P6,Rm,10.4,3.310415075,,V,,5.33543915,,5.335439
San Andres,3/11/2022,Old Point,3,P6,Rm,9,2.864782277,,V,,3.817601238,,3.817601
San Andres,3/11/2022,Old Point,3,P6,Rm,7.9,2.514642221,,V,,2.822987046,,2.822987
San Andres,3/11/2022,Old Point,3,P6,Rm,8.4,2.673796791,,V,,3.25399373,,3.253994
San Andres,3/11/2022,Old Point,3,P6,Ag,8.7,2.769289534,,V,,2.442027646,,2.442028
San Andres,3/11/2022,Old Point,3,P6,Ag,12.2,3.88337153,,V,,5.594478659,,5.594479
San Andres,3/11/2022,Old Point,3,P6,Ag,8.3,2.641965877,,M,3,2.175880218,1.523116,3.698996
San Andres,3/11/2022,Old Point,3,P6,Ag,18,5.729564553,,M,3,14.51719884,10.162039,24.679238
San Andres,3/11/2022,Old Point,3,P6,Ag,9.8,3.11942959,,V,,3.269792508,,3.269793
San Andres,3/11/2022,Old Point,3,P6,Ag,9.5,3.023936847,,V,,3.029815533,,3.029816
San Andres,3/11/2022,Old Point,3,P6,Rm,13.2,4.201680672,,V,,9.26611538,,9.266115
San Andres,3/11/2022,Old Point,3,P6,Rm,11.5,3.660555131,,V,,6.73389888,,6.733899
San Andres,3/11/2022,Old Point,3,P6,Ag,27,8.59434683,,V,,39.22886701,,39.228867
San Andres,3/11/2022,Old Point,3,P6,Ag,14.5,4.615482557,,V,,8.543919656,,8.54392
San Andres,3/11/2022,Old Point,3,P6,Rm,8.6,2.73745862,,V,,3.436189805,,3.43619
San Andres,3/11/2022,Old Point,3,P6,Lr,7.3,2.323656735,,M,3,1.525267898,1.067688,2.592955
San Andres,3/11/2022,Old Point,3,P6,Rm,14.7,4.679144385,,V,,11.88838075,,11.888381
San Andres,3/11/2022,Old Point,3,P6,Rm,8,2.546473135,,V,,2.906411663,,2.906412
San Andres,3/11/2022,Old Point,3,P6,Rm,8.5,2.705627706,,V,,3.344386945,,3.344387
San Andres,3/11/2022,Old Point,3,P6,Rm,15,4.774637128,,V,,12.45767432,,12.457674
San Andres,3/11/2022,Old Point,3,P6,Rm,8.6,2.73745862,,V,,3.436189805,,3.43619
San Andres,3/11/2022,Old Point,3,P6,Ag,41.4,13.17799847,,V,,111.8744623,,111.874462
San Andres,3/11/2022,Old Point,3,P6,Ag,16.2,5.156608098,,V,,11.21241557,,11.212416
San Andres,3/11/2022,Old Point,3,P6,Ag,28.9,9.199134199,,M,3,46.34623568,32.442365,78.788601
San Andres,3/11/2022,Old Point,3,P6,Ag,66.3,21.1038961,,V,,354.9244698,,354.92447
San Andres,3/11/2022,Old Point,3,P6,Ag,22.3,7.098293863,,V,,24.54540811,,24.545408
San Andres,3/11/2022,Old Point,3,P6,Rm,11.2,3.565062389,,V,,6.334135778,,6.334136
San Andres,3/11/2022,Old Point,3,P6,Ag,18.3,5.825057296,,V,,15.11758995,,15.11759
San Andres,3/11/2022,Old Point,3,P9,Ag,12.6,4.010695187,,V,,6.054937855,,6.054938
San Andres,3/11/2022,Old Point,3,P9,Ag,39.6,12.60504202,,V,,100.3230003,,100.323
San Andres,3/11/2022,Old Point,3,P9,Ag,25.2,8.021390374,,V,,33.12416433,,33.124164
San Andres,3/11/2022,Old Point,3,P9,Ag,35,11.14081996,,V,,74.11785617,,74.117856
San Andres,3/11/2022,Old Point,3,P9,Ag,12.5,3.978864273,,V,,5.937799155,,5.937799
San Andres,3/11/2022,Old Point,3,P9,Ag,12.7,4.042526101,,V,,6.17343397,,6.173434
San Andres,3/11/2022,Old Point,3,P9,Ag,52.3,16.64756812,,V,,198.4183415,,198.418342
San Andres,3/11/2022,Old Point,3,P9,Ag,55,17.5070028,,V,,224.4804015,,224.480402
San Andres,3/11/2022,Old Point,3,P9,Ag,12.2,3.88337153,,V,,5.594478659,,5.594479
San Andres,3/11/2022,Old Point,3,P9,Ag,15.5,4.933791698,,M,3,10.06160929,7.043127,17.104736
San Andres,3/11/2022,Old Point,3,P9,Ag,50.5,16.07461166,,V,,182.0919289,,182.091929
San Andres,3/11/2022,Old Point,3,P9,Ag,48.1,15.31066972,,V,,161.6018426,,161.601843
San Andres,3/11/2022,Old Point,3,P9,Ag,15.7,4.997453527,,V,,10.38289357,,10.382894
San Andres,3/11/2022,Old Point,3,P9,Ag,9.2,2.928444105,,V,,2.800591981,,2.800592
San Andres,3/11/2022,Old Point,3,P9,Ag,14.2,4.519989814,,V,,8.117018926,,8.117019
San Andres,3/11/2022,Old Point,3,P9,Ag,23.5,7.480264833,,V,,27.91118675,,27.911187
San Andres,3/11/2022,Old Point,3,P9,Ag,47.2,15.02419149,,V,,154.2889497,,154.28895
San Andres,3/11/2022,Old Point,3,P9,Ag,8.6,2.73745862,,V,,2.37378334,,2.373783
San Andres,3/11/2022,Old Point,3,P9,Ag,23.4,7.448433919,,M,3,27.62089471,19.334626,46.955521
San Andres,3/11/2022,Old Point,3,P9,Ag,10,3.183091418,,V,,3.435826497,,3.435826
San Andres,3/11/2022,Old Point,3,P9,Ag,15.5,4.933791698,,V,,10.06160929,,10.061609
San Andres,3/11/2022,Old Point,3,P9,Ag,38.3,12.19124013,,V,,92.43994083,,92.439941
San Andres,3/11/2022,Old Point,3,P9,Ag,18.7,5.952380952,,V,,15.94062303,,15.940623
San Andres,3/11/2022,Old Point,3,P9,Ag,17,5.411255411,,V,,12.61893912,,12.618939
San Andres,3/11/2022,Old Point,3,P9,Ag,21,6.684491979,,M,1,21.18440495,20.654795,41.8392
San Andres,3/11/2022,Old Point,3,P9,Ag,13.5,4.297173415,,M,,7.170848132,5.019594,12.190442
San Andres,3/11/2022,Old Point,3,P9,Ag,84,26.73796791,,V,,633.9963394,,633.996339
San Andres,3/11/2022,Old Point,3,P9,Ag,50.1,15.94728801,,V,,178.5761178,,178.576118
San Andres,3/11/2022,Old Point,3,P9,Rm,31.5,10.02673797,,M,3,69.41787355,48.592511,118.010385
San Andres,3/11/2022,Old Point,3,P9,Ag,50.2,15.97911892,,V,,179.4512666,,179.451267
San Andres,3/11/2022,Old Point,3,P9,Ag,21.7,6.907308378,,V,,22.95776226,,22.957762
