Key1,Proyecto,Species,DAP_INDIV,AB_INDIV,VOL_COM,VOL_TOTAL,H_TOTAL,H_FUSTE,BIOM_INDIV,CARB_INDIV,Sum_CARB_INDIV,Sum_ID_INDV_MU,Count_ESPECIE
124,EIA PPII - PLATERO sobre YNC,Swartzia amplifolia Harms,0.224430004,0.055059114,4.899737528,0.628655777,12.75,7.625,0.110877087,0.055438537,0.665262443,185,12
125,EIA PPII - PLATERO sobre YNC,Tabernaemontana sananho Ruiz & Pav.,0.1956222,0.03146148,0.430012792,0.4097018,18.6,4.64000001,0.030575897,0.01528797,0.076439851,161,5
126,EIA PPII - PLATERO sobre YNC,Tapirira guianensis Aubl.,0.200270874,0.037770042,86.21601566,0.412102502,13.33891753,7.287628865,0.052368751,0.026184374,10.15953696,9792,388
127,EIA PPII - PLATERO sobre YNC,Terminalia amazonia (J.F.Gmel.) Exell,0.27194267,0.065354967,1.374024987,0.730001169,14.66666667,7,0.105847554,0.052923862,0.317543171,114,6
128,EIA PPII - PLATERO sobre YNC,Terminalia catappa L.,0.493380517,0.192975499,1.350826979,1.270334959,9.5,5,0.190924495,0.095462248,0.190924495,8,2
129,EIA PPII - PLATERO sobre YNC,Tetrorchidium rubrivenium Poepp.,0.175770801,0.025904894,0.658400007,0.298037416,16.2,6.8,0.01605257,0.008026283,0.040131413,133,5
130,EIA PPII - PLATERO sobre YNC,Thevetia ahouai (L.) A.DC.,0.137828333,0.015080067,0.1270089,0.091946231,8.333333333,4,0.001779828,0.000889915,0.002669744,66,3
131,EIA PPII - PLATERO sobre YNC,Trattinnickia aspera (Standl.) Swart,0.204244001,0.037166401,3.129104056,0.455282266,16.625,6.6375,0.042001448,0.021000762,0.336012193,502,16
132,EIA PPII - PLATERO sobre YNC,Trophis racemosa (L.) Urb.,0.139264333,0.01609815,0.100262199,0.141364701,13,3.166666667,0.003811973,0.001905986,0.005717958,110,3
133,EIA PPII - PLATERO sobre YNC,Virola sebifera Aubl.,0.218748208,0.042354744,31.16538677,0.48589401,14.94339623,9.29245283,0.050077078,0.025038544,2.654085716,2834,106
134,EIA PPII - PLATERO sobre YNC,Vismia guianensis (Aubl.) Pers.,0.140187571,0.016890091,0.845838415,0.16361967,11.92857143,4.042857136,0.007633102,0.003816547,0.053431657,526,14
135,EIA PPII - PLATERO sobre YNC,Vochysia ferruginea Mart.,0.151196999,0.021199596,0.601171287,0.177209579,10.4,3.379999995,0.009947327,0.004973663,0.049736633,264,10
136,EIA PPII - PLATERO sobre YNC,Vochysia lehmannii Hieron.,0.256125864,0.056573467,3.662576284,0.591977667,16.2,6.466666667,0.060335093,0.030167531,0.452512972,475,15
137,EIA PPII - PLATERO sobre YNC,Xylopia aromatica (Lam.) Mart.,0.205966286,0.038233646,58.30580564,0.381351483,13.91428571,8.426530612,0.032091131,0.016045553,3.931160522,6152,245
138,EIA PPII - PLATERO sobre YNC,Xylopia discreta (L.f.) Sprague & Hutch.,0.199430055,0.037953602,12.01344702,0.3940618,12.52777778,9.888888889,0.049722597,0.024861288,0.895006359,615,36
139,EIA PPII - PLATERO sobre YNC,Xylopia emarginata Mart.,0.159958849,0.022469399,8.882641691,0.234652984,13.2020202,4.691919193,0.016645781,0.008322888,0.823965876,1924,99
140,EIA PPII - PLATERO sobre YNC,Xylopia polyantha R.E.Fr.,0.190602543,0.034828127,2.616343543,0.330690947,12.63636364,7.818181818,0.034690801,0.017345455,0.190800001,251,11
141,EIA PPII - PLATERO sobre YNC,Zygia inaequalis (Willd.) Pittier,0.204782112,0.046651878,1.774672123,0.404235785,10.05555556,4.544444455,0.07422235,0.037111118,0.334000058,238,9
142,EIA PPII - PLATERO sobre YNC,Zygia ocumarensis (Pittier) Barneby & J.W.Grimes,0.1671275,0.022820233,0.71114846,0.235458896,14,6.300000008,0.010557097,0.005278549,0.031671296,189,6
143,EIA PPII - PLATERO sobre YNC,Triplaris cumingiana Fisch. & C.A.Mey.,0.117774501,0.01092597,0.1409651,0.0926027,12,9,0.001594305,0.000797151,0.001594302,21,2
144,EIA PPII - PLATERO sobre YNC,Cecropia sp.01,0.171768071,0.027178409,4.846401673,0.214870933,10.46428571,8.428571429,0.013597836,0.006798912,0.190369527,250,28
145,EIA PPII - PLATERO sobre YNC,Spondias mombin L.,0.290391419,0.07647232,16.93505178,0.748864506,12.93548387,9.048387097,0.111049204,0.05552458,1.721261989,549,31
