Key1,Proyecto,Species,DAP_INDIV,AB_INDIV,VOL_COM,VOL_TOTAL,H_TOTAL,H_FUSTE,BIOM_INDIV,CARB_INDIV,Sum_CARB_INDIV,Sum_ID_INDV_MU,Count_ESPECIE
140,EIA PPII - KALE sobre YNC,Pachira quinata (Jacq.) W.S. Alverson,0.317673266,0.079259478,0.554816365,1.387040854,25,10,21.50601006,10.75300503,10.75300503,13,1
141,EIA PPII - KALE sobre YNC,Palicourea angustifolia Kunth.,0.177171285,0.027588793,0.744676214,0.37549376,17.8,7.6,18.01839523,9.009197617,45.04598808,112,5
142,EIA PPII - KALE sobre YNC,Peltogyne paniculata Benth.,0.260135238,0.057882504,0.9052132,0.746066908,17.66666667,5.666666667,30.91925939,15.45962969,46.37888908,60,3
143,EIA PPII - KALE sobre YNC,Persea americana Mill.,0.149605647,0.017578663,0.086135454,0.18457596,15,7,13.45873165,6.729365826,6.729365826,76,1
144,EIA PPII - KALE sobre YNC,Phyllanthus acuminatus Vahl,0.160102406,0.021613337,0.240559392,0.14304539,9.4,4,8.455372906,4.227686453,21.13843226,38,5
145,EIA PPII - KALE sobre YNC,Phyllanthus elsiae Urb.,0.109498598,0.00941688,0.065918155,0.098877236,15,10,11.50928974,5.754644871,5.754644871,21,1
146,EIA PPII - KALE sobre YNC,Phyllanthus attenuatus Miq.,0.154459871,0.020441562,0.440770637,0.162315431,12.125,7,10.63450599,5.317252994,21.26901197,111,4
147,EIA PPII - KALE sobre YNC,Piptocoma discolor (Kunth.) Pruski.,0.207538038,0.033828702,0.189440727,0.426241636,18,8,14.18179989,7.090899944,7.090899944,32,1
148,EIA PPII - KALE sobre YNC,Pithecellobium dulce (Roxb.) Benth.,0.137037178,0.015205319,0.116437493,0.088912177,8,4,9.97837766,4.98918883,14.96756649,30,3
149,EIA PPII - KALE sobre YNC,Pithecellobium longifolium (Humb. & Bonpl. ex W.),0.1642479,0.02118798,0.044494756,0.133484274,9,3,5.012367249,2.506183624,2.506183624,11,1
150,EIA PPII - KALE sobre YNC,Poeppigia procera C. Presl,0.119366206,0.011190582,0.047000445,0.078334071,10,6,9.45714283,4.728571415,4.728571415,19,1
151,EIA PPII - KALE sobre YNC,Pourouma bicolor Mart.,0.173545202,0.027922969,5.643092357,0.308675336,12.41666667,5.285416665,6.705840414,3.352920207,160.9401699,1517,48
152,EIA PPII - KALE sobre YNC,Pouteria cuspidata (A.DC.) Baehni,0.62388736,0.305704802,2.139933586,3.637887239,17,10,34.95622635,17.47811317,17.47811317,10,1
153,EIA PPII - KALE sobre YNC,Pouteria multiflora (A.DC.) Eyma,0.1675926,0.025915354,2.42684846,0.33072946,14.47058824,6.411764706,16.82080973,8.410404864,142.9768827,416,17
154,EIA PPII - KALE sobre YNC,Pouteria sp.,0.204673255,0.033716789,0.339680195,0.22244671,9.333333333,5,11.6488301,5.824415048,17.47324514,15,3
155,EIA PPII - KALE sobre YNC,Protium heptaphyllum (Aubl.) Marchand.,0.152592321,0.019088818,0.561793987,0.171164301,13,7.333333333,11.70745349,5.853726745,35.12236047,111,6
156,EIA PPII - KALE sobre YNC,Protium tovarense Pittier,0.216052834,0.041698775,0.860156208,0.501700219,16.75,7.375,12.64828014,6.324140072,25.29656029,127,4
157,EIA PPII - KALE sobre YNC,Pseudobombax septenatum (Jacq.) Dugand.,0.142761983,0.017124634,0.101964144,0.206380833,14.5,4.5,5.678655505,2.839327753,5.678655505,42,2
158,EIA PPII - KALE sobre YNC,"Pseudolmedia cf., rigida (Klotzsch & H.Karst.) C.",0.138850984,0.016489566,0.645045944,0.142624557,10.08333333,3.808333337,9.674485246,4.837242623,58.04691148,171,12
159,EIA PPII - KALE sobre YNC,Pseudolmedia laevigata Trécul,0.153425366,0.019981346,0.209077585,0.251764957,18,8,17.38700533,8.693502665,17.38700533,77,2
160,EIA PPII - KALE sobre YNC,Pseudolmedia rigida (Klotzsch & H.Karst.) Cuatrec.,0.197113397,0.034900173,1.461228738,0.431224507,15.25,5.825000003,16.42463452,8.212317258,65.69853806,254,8
161,EIA PPII - KALE sobre YNC,Psychotria brachiata Sw.,0.189553529,0.033496267,0.382695887,0.437128361,15,7.25,12.90358043,6.451790214,12.90358043,33,2
162,EIA PPII - KALE sobre YNC,"Psychotria cf., deflexa DC.",0.212432062,0.038547078,1.454485454,0.378752968,12.75,5.9375,11.23077059,5.615385294,44.92308235,156,8
163,EIA PPII - KALE sobre YNC,Psychotria deflexa DC.,0.197776798,0.035450251,0.232270155,0.410939556,13.5,4,11.79284692,5.896423459,11.79284692,69,2
164,EIA PPII - KALE sobre YNC,Pterocarpus rohrii Vahl,0.541182995,0.230026633,1.932223797,2.898335695,18,12,19.06081772,9.530408859,9.530408859,48,1
165,EIA PPII - KALE sobre YNC,Roupala pachypoda Cuatrec.,0.17618452,0.02529915,0.161658742,0.256834708,16,5.5,19.81432915,9.907164574,19.81432915,51,2
166,EIA PPII - KALE sobre YNC,Sabal mauritiiformis (H. Karst.) Griseb & H. Wendl,0.150013261,0.019424264,2.00E-05,0.217551753,16,1.00E-05,10.80527782,5.402638912,10.80527782,72,2
167,EIA PPII - KALE sobre YNC,Samanea saman (Jacq.) Merr.,0.524583886,0.262815828,31.40409242,3.301216261,16.22222222,5.05277778,17.51884099,8.759420494,315.3391378,400,36
168,EIA PPII - KALE sobre YNC,Sapium glandulosum (L.) Morong,0.177525971,0.030162158,1.115917172,0.426395383,16.71428571,6.628571425,11.88878877,5.944394384,41.61076069,257,7
169,EIA PPII - KALE sobre YNC,Sapium laurifolium (A. Rich.) Griseb.,0.23786795,0.053451232,0.487177847,0.379864866,9.6,3.35999999,6.932962847,3.466481423,17.33240712,99,5
170,EIA PPII - KALE sobre YNC,"Schefflera morototoni (Aubl.) Maguire, S. & F.",0.241926753,0.058080467,16.62550107,0.805707235,18.54761905,10.32142857,14.35154385,7.175771923,301.3824208,919,42
171,EIA PPII - KALE sobre YNC,Schizolobium parahyba (Vell.) S.F.Blake,0.173383394,0.02650607,1.170731528,0.319736659,14.7,5.15,11.47977953,5.739889765,57.39889765,212,10
172,EIA PPII - KALE sobre YNC,Senna alata (L.) Roxb.,0.125414088,0.012353288,0.025941906,0.069178417,8,3,5.032511711,2.516255856,2.516255856,6,1
173,EIA PPII - KALE sobre YNC,Senna sp.,0.14992395,0.017653545,0.067966148,0.123574823,10,5.5,6.734652519,3.36732626,3.36732626,21,1
174,EIA PPII - KALE sobre YNC,Simarouba amara Aubl.,0.160452694,0.021729058,1.866391705,0.181327572,10.675,5.314999998,6.391384494,3.195692247,63.91384494,460,20
175,EIA PPII - KALE sobre YNC,Sloanea guianensis (Aubl.) Benth.,0.153489146,0.020241982,0.12528082,0.164307244,11.25,3.425000012,13.88363123,6.941815615,27.76726246,92,4
176,EIA PPII - KALE sobre YNC,Socratea exorrhiza (Mart.) H.Wendl.,0.119684517,0.011371382,2.00E-05,0.119399507,15,1.00E-05,4.72333622,2.36166811,4.72333622,119,2
177,EIA PPII - KALE sobre YNC,Sorocea pubivena Hemsl,0.17567169,0.024926326,0.666473927,0.163844259,9.222222222,4.288888892,8.688840071,4.344420036,39.09978032,115,9
178,EIA PPII - KALE sobre YNC,Spondias mombin L.,0.252032232,0.056833666,3.209290832,0.708531236,15,7.944444444,10.85290247,5.426451233,48.83806109,159,9
179,EIA PPII - KALE sobre YNC,Swartzia amplifolia Harms,0.211550973,0.039767073,1.878692864,0.453648359,13.72222222,6.666666667,13.97941107,6.989705536,62.90734982,146,9
